,Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
90.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
91.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
92.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
93.0,9.0,"open, article, also, claim, comment, year, add, originally, canadian, say",,
94.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
95.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
96.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
97.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
98.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
99.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
100.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
101.0,4.0,"article, page, know, hypothesis, dan, time, compelling, think, position, source",,
102.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
103.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
104.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
105.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
106.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
107.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
108.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
109.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
110.0,6.0,"suck, royal, goat, kansa, president, article, pacific, know, support, academic",,
111.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
112.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
113.0,4.0,"article, page, know, hypothesis, dan, time, compelling, think, position, source",,
114.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
115.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
116.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
117.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
118.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
119.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
120.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
121.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
122.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
123.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
124.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
125.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
126.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
127.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
128.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
129.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
130.0,9.0,"open, article, also, claim, comment, year, add, originally, canadian, say",,
131.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
132.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
133.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
134.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
135.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
136.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
137.0,6.0,"suck, royal, goat, kansa, president, article, pacific, know, support, academic",,
138.0,9.0,"open, article, also, claim, comment, year, add, originally, canadian, say",,
139.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
140.0,9.0,"open, article, also, claim, comment, year, add, originally, canadian, say",,
141.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
142.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
143.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
144.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
145.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
146.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
147.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
148.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
149.0,4.0,"article, page, know, hypothesis, dan, time, compelling, think, position, source",,
150.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
151.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
152.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
153.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
154.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
155.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
156.0,6.0,"suck, royal, goat, kansa, president, article, pacific, know, support, academic",,
157.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
158.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
159.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
160.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
161.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
162.0,9.0,"open, article, also, claim, comment, year, add, originally, canadian, say",,
163.0,9.0,"open, article, also, claim, comment, year, add, originally, canadian, say",,
164.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
165.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
166.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
167.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
168.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
169.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
170.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
171.0,9.0,"open, article, also, claim, comment, year, add, originally, canadian, say",,
172.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
173.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
174.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
175.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
176.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
177.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
178.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
179.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
180.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
181.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
182.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
183.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
184.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
185.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
186.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
187.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
188.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
189.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
190.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
191.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
192.0,9.0,"open, article, also, claim, comment, year, add, originally, canadian, say",,
193.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
194.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
195.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
196.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
197.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
198.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
199.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
200.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
201.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
202.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
203.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
204.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
205.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
206.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
207.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
208.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
209.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
210.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
211.0,6.0,"suck, royal, goat, kansa, president, article, pacific, know, support, academic",,
212.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
213.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
214.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
215.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
216.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
217.0,6.0,"suck, royal, goat, kansa, president, article, pacific, know, support, academic",,
218.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
219.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
220.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
221.0,9.0,"open, article, also, claim, comment, year, add, originally, canadian, say",,
222.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
223.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
224.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
225.0,4.0,"article, page, know, hypothesis, dan, time, compelling, think, position, source",,
226.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
227.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
228.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
229.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
230.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
231.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
232.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
233.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
234.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
235.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
236.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
237.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
238.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
239.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
240.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
241.0,6.0,"suck, royal, goat, kansa, president, article, pacific, know, support, academic",,
242.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
243.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
244.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
245.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
246.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
247.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
248.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
249.0,4.0,"article, page, know, hypothesis, dan, time, compelling, think, position, source",,
250.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
251.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
252.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
253.0,9.0,"open, article, also, claim, comment, year, add, originally, canadian, say",,
254.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
255.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
256.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
257.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
258.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
259.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
260.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
261.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
262.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
263.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
264.0,4.0,"article, page, know, hypothesis, dan, time, compelling, think, position, source",,
265.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
266.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
267.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
268.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
269.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
270.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
271.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
272.0,6.0,"suck, royal, goat, kansa, president, article, pacific, know, support, academic",,
273.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
274.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
275.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
276.0,4.0,"article, page, know, hypothesis, dan, time, compelling, think, position, source",,
277.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
278.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
279.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
280.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
281.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
282.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
283.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
284.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
285.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
286.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
287.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
288.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
289.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
290.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
291.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
292.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
293.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
294.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
295.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
296.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
297.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
298.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
299.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
300.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
301.0,6.0,"suck, royal, goat, kansa, president, article, pacific, know, support, academic",,
302.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
303.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
304.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
305.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
306.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
307.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
308.0,6.0,"suck, royal, goat, kansa, president, article, pacific, know, support, academic",,
309.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
310.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
311.0,4.0,"article, page, know, hypothesis, dan, time, compelling, think, position, source",,
312.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
313.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
314.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
315.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
316.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
317.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
318.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
319.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
320.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
321.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
322.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
323.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
324.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
325.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
326.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
327.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
328.0,6.0,"suck, royal, goat, kansa, president, article, pacific, know, support, academic",,
329.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
330.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
331.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
332.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
333.0,5.0,"people, article, arab, know, also, card, list, terminology, say, history",,
334.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
335.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
336.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
337.0,4.0,"article, page, know, hypothesis, dan, time, compelling, think, position, source",,
338.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
339.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
340.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
341.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
342.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
343.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
344.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
345.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
346.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
347.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
348.0,6.0,"suck, royal, goat, kansa, president, article, pacific, know, support, academic",,
349.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
350.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
351.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
352.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
353.0,6.0,"suck, royal, goat, kansa, president, article, pacific, know, support, academic",,
354.0,4.0,"article, page, know, hypothesis, dan, time, compelling, think, position, source",,
355.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
356.0,9.0,"open, article, also, claim, comment, year, add, originally, canadian, say",,
357.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
358.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
359.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
360.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
361.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
362.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
363.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
364.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
365.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
366.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
367.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
368.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
369.0,3.0,"think, article, say, get, time, know, see, make, people, take",,
370.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
371.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
372.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
373.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
374.0,2.0,"article, use, say, link, source, make, see, write, well, reference",,
375.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
376.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
377.0,8.0,"article, wikipedia, page, edit, talk, thank, help, see, welcome, comment",,
378.0,0.0,"article, wikipedia, say, use, time, thank, look, page, think, see",,
379.0,7.0,"article, page, think, wikipedia, go, know, make, name, use, even",,
380.0,1.0,"use, fair, page, name, wikipedia, kurdish, suck, rationale, file, people",,
381.0,9.0,"open, article, also, claim, comment, year, add, originally, canadian, say",,
