,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
10,10,8.0,0.6804941296577454,"article, suck, cunt, xdicksx, widr, write, read, feature, review, ventura",widr suck xdicksx widr suck xdicksx widr suck xdicksx widr suck xdicksx widr suck xdicksx widr suck xdicksx widr suck xdicksx
11,11,11.0,0.9767851233482361,"article, suck, write, theory, decline, many, person, kasparov, fall, say",yes thats one theory another theory gibbon say decline fall implicit cant seperate thing least level want write article transformist decline view late antiquity good start article simply collection theory regard decline fall practical linking reason since many people use terminology article gateway article
12,12,1.0,0.9668357968330383,"suck, article, moore, belarusian, note, change, product, universal, capital, nazist",maybe text mostly moore umm article title change moore universal measure machine intro clarify article moore product call universal measuring machine specific product name image umms would help
13,13,10.0,0.9668343663215637,"suck, article, category, userpage, deletion, nat, theory, source, change, use",categoryconspiracy theorist ask us include article subject mention article actively defend one conspiracy theory list article categoryconspiracy theory take quick look subcategory conspiracy theory unite state article appear true tice miss something
14,14,1.0,0.9742055535316467,"suck, article, moore, belarusian, note, change, product, universal, capital, nazist",chauvinist nazists polish lithuanian nazi discus change article truly belarusian slavic city intrigue lithuanians stalin capital republic belarus stop note take note seriously consider anyone nazists chauvinists however fact vilnius belarusian city capital belarusian state century
15,15,7.0,0.9336716532707214,"article, seem, comment, list, great, use, decline, discussion, also, redirect",great comment assignment kristen article also consider good article quality seem quite different
16,16,6.0,0.9511234760284424,"cuntnlu, article, suck, nlu, cunt, compton, great, use, silly, misname",viewpoint article discuss topic viewpoint great britain less degree dresden vienna input topic conflict world war ii need
17,17,7.0,0.9842600226402283,"article, seem, comment, list, great, use, decline, discussion, also, redirect",yea probably right look categorypolice misconduct united state appear department single sure many department big issue chicago one afd seem like reasonable approach option see would rename list incident drop misconduct focus add incident go nowhere would give balanced view would impossible maintain would still article without peer encyclopedia can not title without npov issue article note also change head since lvpd lvmpd two different organization lvpd also use tv show
18,18,6.0,0.9226133227348328,"cuntnlu, article, suck, nlu, cunt, compton, great, use, silly, misname",misname article misname accord article title guideline case merge peekskill meteorite
19,19,6.0,0.6987822651863098,"cuntnlu, article, suck, nlu, cunt, compton, great, use, silly, misname",article look good thanks write new despite failing see article great merit describe behavior others tough give calculate subtle deliberate people thanks word
20,20,7.0,0.9742053151130676,"article, seem, comment, list, great, use, decline, discussion, also, redirect",thanks expect decline despite extensive comment talkstacy harris nothing article listing bylines nonnotable publication minor book acknowledgment uncredited movie extra role blog comment pay directory listing unsubstantiated claim wildly overthetop pr accomplishment exactly consider example credible notability
21,21,7.0,0.9453765749931335,"article, seem, comment, list, great, use, decline, discussion, also, redirect",article seem write subject bad article adverb quickly seem pov us take decade amass thousand member great accomplishment
22,22,1.0,0.9380931854248047,"suck, article, moore, belarusian, note, change, product, universal, capital, nazist",ohhbrittany kaim scar gosh please lock jem article life go jem article protect loser brittany ka
23,23,6.0,0.997619092464447,"cuntnlu, article, suck, nlu, cunt, compton, great, use, silly, misname",nlu cunt nlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cunt nlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cunt nlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cunt nlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu cuntnlu
24,24,2.0,0.9511268138885498,"suck, vandalizer, nigger, ballznigger, hammersoft, cock, herenigger, bal, vandalize, name",hammersoft suck cock hammersoft suck cock hammersoft suck cock hammersoft suck cock hammersoft suck cock hammersoft suck cock
25,25,8.0,0.9419618248939514,"article, suck, cunt, xdicksx, widr, write, read, feature, review, ventura",tone article flag article informative employ formal tone associate encyclopedia entry read like friendly chat mechanic
26,26,10.0,0.9285694360733032,"suck, article, category, userpage, deletion, nat, theory, source, change, use",article deletion debate article redirect punani result article deletion debate discussion find
27,27,12.0,0.9071426391601562,"suck, kasparov, fischer, article, thing, qualify, eccentric, jew, also, careful",suck suck suck suck suck suck suck suck suck
28,28,10.0,0.9742051362991333,"suck, article, category, userpage, deletion, nat, theory, source, change, use",page deletion simply move clutter parent article nat spirit constituent child article notice copyvio fix sooni need gather source article ought keep min kyawzwa one widely venerate nats burmese society prominent source worship burmese ritual call nat pwe
29,29,8.0,0.9628555178642273,"article, suck, cunt, xdicksx, widr, write, read, feature, review, ventura",link ventura engine recently read article click link ventura engine expect article ventura engine instead send article paxman diesel actual article ventura see link
30,30,8.0,0.9668357372283936,"article, suck, cunt, xdicksx, widr, write, read, feature, review, ventura",wikipedia thank review article although much read make change add article look review receive add social penetration theory research article apu database elaborate detail pertain social penetration theory
31,31,8.0,0.9709809422492981,"article, suck, cunt, xdicksx, widr, write, read, feature, review, ventura",call stupid say make stupid claim besides transport relate article financial status wikipedia problem associate kerala relate article first good look article comment repeat airport article article company own besides bring arrogance picture gosh
32,32,8.0,0.7678559422492981,"article, suck, cunt, xdicksx, widr, write, read, feature, review, ventura",article article write
33,33,10.0,0.9535703063011169,"suck, article, category, userpage, deletion, nat, theory, source, change, use",category change hi clean category texas notice userpage list category article change userpage point category wikipedians texas userpage category instead
34,34,11.0,0.8839267492294312,"article, suck, write, theory, decline, many, person, kasparov, fall, say",article post wordforword copy article write previously
35,35,8.0,0.9155806303024292,"article, suck, cunt, xdicksx, widr, write, read, feature, review, ventura",interesting article hey saposcat see article yunus emre chance perhaps could clean
36,36,7.0,0.8673437833786011,"article, seem, comment, list, great, use, decline, discussion, also, redirect",article title technically murder two people two murder
37,37,4.0,0.9557814002037048,"name, french, article, barry, discussion, fry, year, make, extensive, also",article redundant french fry article base solely british name extensive discussion issue several year consensus keep page redirect french fry
38,38,7.0,0.9453766942024231,"article, seem, comment, list, great, use, decline, discussion, also, redirect",main article redirect ledefrance attack even term main article least sort redirect link top page article
39,39,8.0,0.9690459966659546,"article, suck, cunt, xdicksx, widr, write, read, feature, review, ventura",go propse back get topic ban peter seller basically write article c class stage miff developed article overrode write warped vendetta article ca schrod particular spot ca chaplin review reason try trouble
40,40,8.0,0.9511263966560364,"article, suck, cunt, xdicksx, widr, write, read, feature, review, ventura",dannii minogue article hello recently nominate dannii minogue article fa status wonder would willing read article correct grammar prose etc thank much
41,41,11.0,0.9761889576911926,"article, suck, write, theory, decline, many, person, kasparov, fall, say",fischer also say vile thing jew see host hate speech wikiquote mean plaster every jewishrelated article wikipedia fischer eccentric insulting musing kasparov way qualify inclusion kasparov article careful characterise kasparov last time call b personal attack biography live person policy
42,42,6.0,0.9557793736457825,"cuntnlu, article, suck, nlu, cunt, compton, great, use, silly, misname",give show article use term redshift define phrase see article term compton redshift compton effect compton scatter use peerreviewed article
43,43,4.0,0.9828037619590759,"name, french, article, barry, discussion, fry, year, make, extensive, also",hello laurel thank advice de barra family name also come ireland like self research family ancestry last thirty year extensive knowalage history orgins name past generation generation also hold master degree liberal art history fact write thesis anglo saxon change make correct spelling name name de barry incorrect de barra french name de means de barry dose exist barry anglicization de barra kind regard wendy
44,44,8.0,0.8839223384857178,"article, suck, cunt, xdicksx, widr, write, read, feature, review, ventura",great article know router run zonked quokka
45,45,10.0,0.6446967720985413,"suck, article, category, userpage, deletion, nat, theory, source, change, use",romanization serbian hey noteced edits article want tell great job thank expand make effort improve fix perfectly part miss period wwii beleave must crutial period language merge creation serbocroatoslovenian must period new language become bialphabetical thus serbs start option writting language call scs alphabet make sense right cant find source event make come conclusion anyway come series discussion use diacritic wp come late last one sure active discussion regard anymore new discussion certainly appear consensus reach user strongly oppose use diacritic article title ictu oculi favour diacritic although would mind much end eliminate mean fanatic prefer correct native title would use ok end drop would prefer consensus reach
46,46,10.0,0.9535687565803528,"suck, article, category, userpage, deletion, nat, theory, source, change, use",read article note purely engineeringrelated article reason support restore imperial unit precedence per mosnum spirit letter per proposal subject section inspire edits
47,47,8.0,0.9484107494354248,"article, suck, cunt, xdicksx, widr, write, read, feature, review, ventura",silly article write silly article thing write article nominate vfd merely waste people time persist block feb utc
48,48,8.0,0.9226161241531372,"article, suck, cunt, xdicksx, widr, write, read, feature, review, ventura",albedo article give unusually high albedo frech version fr qb give one correct
49,49,8.0,0.9419635534286499,"article, suck, cunt, xdicksx, widr, write, read, feature, review, ventura",cunt cunt cunt cunt cunt cunt cunt cunt cunt cunt cunt cunt moist smelly cunt
50,50,10.0,0.9155811071395874,"suck, article, category, userpage, deletion, nat, theory, source, change, use",proposal structure article use consensus article wikipedia template see follow
51,51,6.0,0.812265157699585,"cuntnlu, article, suck, nlu, cunt, compton, great, use, silly, misname",silly article seem like article worthy encyclopedia article nickname base arbitrary criterion never universally agree upon first line article underscore silly delete
52,52,8.0,0.9155811071395874,"article, suck, cunt, xdicksx, widr, write, read, feature, review, ventura",concur merge chemical hydrology article article replace article redirect article
53,53,2.0,0.9974490404129028,"suck, vandalizer, nigger, ballznigger, hammersoft, cock, herenigger, bal, vandalize, name",hereniggers suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballzniggers suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballzniggers suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballzniggers suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballzniggers suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballzniggers suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballzniggers suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballzniggers suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballzniggers suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballzniggers suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck ballz nigger suck bal
